,e10.soil.depth,e12.rock.cover,t01alt,awc15,bio01,bio05,bio06,gdd,nfd,rh410,t14stot,species
0,48.0,3.0,1001.278167,15.75474037,63.08879431,213.1012925,-79.56969632,1436.496209,161.376295,6094.300025,4448594.686,AA
1,53.0,4.0,997.5499137,15.65158686,63.25943006,213.2821452,-79.40776714,1439.936111,161.164182,6094.88669,4446154.934,AA
2,52.0,3.0,1005.827266,15.48162236,63.10789048,213.1216688,-79.54983404,1436.894453,161.3468404,6094.681969,4453170.486,AA
3,55.0,3.0,1004.238692,17.17517255,62.2363827,212.1978485,-80.38326984,1419.300586,162.4502073,6090.384909,4262219.125,AA
4,57.0,2.0,1041.718138,16.93984613,61.9180374,211.8605742,-80.678251,1412.909792,162.8236834,6090.743335,4239666.853,AA
5,58.0,3.0,1080.908499,17.85162209,60.95058563,210.8368502,-81.5819415,1393.60717,163.9689042,6089.80707,4706613.187,AA
6,58.0,3.0,1102.142174,18.62657594,59.62143905,209.4316003,-82.82664616,1367.210665,165.5494817,6087.682537,4646477.495,AA
7,53.0,2.0,1119.836278,18.90910478,58.91100675,208.6793416,-83.49780942,1353.014325,166.4225494,6085.992993,4443750.439,AA
8,48.0,2.0,1134.405707,19.13042553,58.4039411,208.1430515,-83.97422618,1342.945676,167.0338965,6085.113593,4372944.247,AA
9,50.0,1.0,1129.66778,19.05487022,58.56903776,208.3175975,-83.81937489,1346.21702,166.836031,6085.365346,4391151.51,AA
10,50.0,1.0,1141.691228,19.27284227,58.08287982,207.8046689,-84.27074562,1336.684998,167.3975149,6085.162768,4354204.889,AA
11,58.0,1.0,1176.068555,19.83756314,56.94742458,206.6031973,-85.34111283,1314.111465,168.7843936,6082.940299,4440835.24,AA
12,58.0,1.0,1188.542228,19.76300806,56.44773734,206.0749032,-85.81044195,1304.226487,169.3872511,6082.199064,4407757.315,AA
13,57.0,2.0,1183.836997,19.88054919,56.64470924,206.282908,-85.62643608,1308.097847,169.1540801,6082.36408,4436556.707,AA
14,57.0,4.0,1162.565761,18.02961326,58.84968911,208.6195102,-83.52678433,1352.09632,166.3543783,6088.188321,3705911.248,AA
15,58.0,2.0,1114.614134,14.88532625,62.59999721,212.5831818,-80.00957678,1427.630951,161.6497637,6096.344604,4628752.435,AA
16,58.0,2.0,1115.561859,14.99728397,62.41920515,212.3925073,-80.17771428,1423.848388,161.8967746,6095.763725,4553604.896,AA
17,47.0,2.0,945.3166056,18.84301587,69.57779078,219.9403901,-73.56410445,1575.645559,151.8893578,6114.70331,4145167.907,AA
